1    1.228 5.47 
2    1.218 1.75 
3    1.205 7.51 
4    1.235 5.52 
5    1.196 11.61 
6    1.221 12.08 
7    1.199 7.98 
8    1.210 2.11 
9    1.194 8.54 
10   1.206 10.45 
12   1.193 9.73 
13   1.211 5.10 
14   1.199 7.98 
15   1.186 10.56 
17   1.207 2.07 
18   1.218 10.48 
19   1.198 6.61 
21   1.205 7.15 
22   1.208 6.89 
23   1.209 6.48 
24   1.216 8.76 
25   1.207 8.94 
26   1.195 4.01 
28   1.230 5.36 
29   1.204 8.24 
30   1.218 10.49 
31   1.197 9.46 
35   1.198 8.80 
39   1.209 2.22 
45   1.198 6.62 
46   1.195 9.59 
48   1.199 11.36 
51   1.186 2.92 
53   1.192 4.23 
56   1.165 9.16 
58   1.194 3.32 
59   1.211 6.90 
61   1.181 7.89 
63   1.201 9.40 
69   1.181 7.88 
71   1.183 4.05 
74   1.180 11.03 
75   1.172 12.27 
76   1.179 3.86 
78   1.183 10.17 
79   1.194 4.01 
80   1.202 7.07 
81   1.200 8.78 
82   1.204 3.69 
84   1.200 9.88 
87   1.180 9.28 
88   1.187 9.77 
92   1.178 9.57 
93   1.179 7.86 
97   1.141 10.76 
99   1.140 16.16 
104  1.205 8.24 
105  1.126 11.90 
107  1.164 5.50 
110  1.197 9.05 
115  1.137 14.82 
116  1.185 2.84 
117  1.190 3.14 
118  1.186 3.51 
120  1.170 9.51 
121  1.225 0.00 
122  1.184 4.55 
124  1.135 14.92 
128  1.190 5.18 
130  1.152 13.66 
131  1.181 10.80 
133  1.140 13.28 
137  1.179 11.44 
140  1.182 8.63 
145  1.188 4.46 
149  1.177 9.03 
151  1.178 10.01 
152  1.179 11.33 
155  1.190 4.14 
157  1.176 10.77 
160  1.168 9.48 
161  1.165 5.45 
163  1.203 7.30 
171  1.193 8.27 
172  1.175 9.48 
173  1.153 12.11 
175  1.153 13.67 
176  1.196 9.46 
181  1.182 9.44 
182  1.173 5.46 
185  1.194 9.10 
187  1.180 5.12 
193  1.161 5.76 
199  1.186 2.85 
201  1.161 10.66 
202  1.192 13.03 
206  1.172 12.27 
207  1.159 10.57 
209  1.171 11.61 
213  1.171 6.61 
215  1.144 7.67 
217  1.176 7.95 
220  1.180 6.03 
223  1.163 10.67 
224  1.177 5.52 
232  1.182 7.01 
239  1.165 10.25 
240  1.159 6.10 
243  1.154 6.40 
246  1.158 7.80 
252  1.170 6.41 
253  1.180 4.69 
254  1.154 11.83 
264  1.165 12.44 
270  1.218 10.47 
273  1.141 13.28 
276  1.173 7.51 
278  1.170 9.66 
281  1.085 17.55 
282  1.134 15.16 
286  1.109 16.92 
287  1.172 8.70 
290  1.179 7.02 
293  1.165 5.70 
296  1.157 12.13 
298  1.097 16.73 
304  1.171 5.10 
307  1.186 2.91 
308  1.210 6.47 
311  1.143 8.28 
312  1.158 6.05 
315  1.154 7.83 
316  1.107 16.95 
321  1.164 9.62 
326  1.160 9.35 
328  1.171 11.62 
335  1.169 10.95 
339  1.156 10.86 
342  1.143 14.51 
344  1.131 10.56 
350  1.147 7.03 
357  1.137 13.92 
358  1.166 9.72 
360  1.194 8.17 
365  1.178 4.99 
367  1.167 7.77 
387  1.169 6.76 
410  1.153 7.65 
413  1.172 5.45 
415  1.146 6.85 
416  1.175 4.92 
426  1.168 5.75 
429  1.155 10.06 
431  1.217 1.74 
435  1.155 10.06 
437  1.156 6.36 
439  1.151 8.28 
443  1.177 6.71 
445  1.141 8.78 
447  1.161 7.52 
452  1.096 16.72 
456  1.159 6.10 
467  1.146 6.07 
468  1.136 12.73 
475  1.149 11.61 
479  1.142 8.28 
482  1.154 9.97 
494  1.131 10.56 
519  1.159 12.92 
525  1.144 14.99 
533  1.172 13.27 
535  1.161 11.40 
541  1.123 13.39 
543  1.139 14.61 
545  1.132 17.79 
554  1.145 15.57 
566  1.157 15.69 
576  1.124 15.64 
580  1.129 22.92 
584  1.141 20.11 
590  1.160 16.53 
596  1.142 12.96 
597  1.107 7.40 
598  1.205 7.50 
608  1.165 9.21 
622  1.147 19.13 
624  1.190 12.81 
625  1.141 10.75 
630  1.109 19.18 
636  1.149 16.02 
639  1.160 16.03 
640  1.153 12.11 
642  1.178 9.99 
644  1.168 15.39 
645  1.147 6.23 
648  1.172 11.25 
649  1.149 9.66 
650  1.167 5.23 
651  1.101 17.37 
653  1.193 13.17 
664  1.151 13.62 
667  1.111 14.28 
687  1.110 21.69 
691  1.148 12.89 
692  1.135 10.14 
693  1.225 0.07 
699  1.121 14.78 
705  1.158 17.00 
708  1.096 16.08 
713  1.140 8.49 
714  1.122 15.72 
717  1.136 15.63 
722  1.151 15.86 
724  1.147 18.59 
725  1.151 7.92 
730  1.119 15.64 
734  1.204 12.45 
735  1.124 11.57 
739  1.129 13.72 
743  1.186 11.81 
749  1.128 18.85 
770  1.138 12.70 
772  1.117 16.08 
774  1.171 17.42 
783  1.163 10.60 
785  1.098 19.51 
788  1.113 19.48 
801  1.140 11.87 
807  1.146 11.64 
812  1.141 17.40 
815  1.132 13.26 
825  1.131 11.87 
833  1.121 15.60 
834  1.235 5.45 
835  1.160 6.41 
845  1.164 19.82 
849  1.132 14.76 
851  1.124 17.45 
856  1.118 17.09 
862  1.151 19.37 
863  1.140 12.62 
865  1.170 14.91 
871  1.153 7.28 
873  1.125 21.49 
874  1.091 17.25 
877  1.156 16.39 
882  1.141 19.04 
887  1.094 16.58 
891  1.139 19.68 
903  1.148 17.68 
909  1.142 7.30 
913  1.190 13.71 
914  1.132 11.50 
930  1.138 13.51 
931  1.187 4.38 
933  1.158 16.94 
937  1.165 16.50 
951  1.137 13.49 
956  1.156 16.50 
983  1.119 18.47 
992  1.140 18.06 
995  1.087 19.30 
998  1.097 15.52 
1003 1.122 18.52 
1005 1.182 14.45 
1021 1.147 18.34 
1024 1.150 18.45 
1025 1.149 6.21 
1027 1.161 14.27 
1031 1.120 20.99 
1035 1.132 18.07 
1037 1.127 14.42 
1041 1.126 14.12 
1046 1.109 13.20 
1057 1.148 12.01 
1059 1.107 13.48 
1061 1.147 18.40 
1071 1.113 16.97 
1074 1.130 12.77 
1082 1.172 15.40 
1084 1.096 20.69 
1087 1.116 20.14 
1097 1.159 12.49 
1103 1.154 18.03 
1109 1.134 15.56 
1123 1.128 11.72 
1124 1.186 10.56 
1127 1.195 13.02 
1129 1.115 18.09 
1131 1.152 17.65 
1136 1.150 13.01 
1148 1.141 16.42 
1151 1.136 19.55 
1168 1.128 15.03 
1184 1.134 18.24 
1202 1.181 12.68 
1224 1.128 21.44 
1233 1.129 13.53 
1248 1.154 13.48 
1251 1.124 23.10 
1269 1.178 11.94 
1272 1.117 17.07 
1276 1.111 10.41 
1291 1.114 12.75 
1309 1.085 22.99 
1317 1.097 18.19 
1320 1.092 13.92 
1343 1.099 16.36 
1357 1.173 11.00 
1365 1.059 13.53 
1370 1.122 19.82 
1374 1.100 19.72 
1393 1.114 15.63 
1397 1.114 21.03 
1406 1.031 19.52 
1407 1.166 9.62 
1419 1.110 23.19 
1421 1.209 14.37 
1432 1.151 17.71 
1440 1.125 15.10 
1463 1.051 24.52 
1466 1.162 16.01 
1471 1.120 18.92 
1485 1.130 17.72 
1488 1.117 8.24 
1489 1.153 7.65 
1494 1.112 16.67 
1509 1.130 20.28 
1525 1.108 14.51 
1527 1.112 18.05 
1545 1.055 11.66 
1546 1.131 7.29 
1571 1.105 10.58 
1574 1.121 18.90 
1580 1.094 20.69 
1592 1.103 18.28 
1614 1.084 20.97 
1639 1.102 18.21 
1643 1.101 18.97 
1647 1.071 17.96 
1662 1.071 19.28 
1670 1.120 13.41 
1678 1.112 11.66 
1686 1.125 17.74 
1687 1.145 5.92 
1693 1.115 17.66 
1702 1.123 18.36 
1707 1.053 21.64 
1708 1.131 14.98 
1714 1.140 15.61 
1740 1.144 19.16 
1749 1.107 19.92 
1759 1.100 17.74 
1766 1.186 10.20 
1780 1.062 23.99 
1786 1.125 14.13 
1802 1.076 20.51 
1806 1.072 26.17 
1816 1.104 20.00 
1829 1.082 20.87 
1879 1.110 14.81 
1880 1.104 17.91 
