1        1.298 11.41
3        1.275 9.64
4        1.316 3.93
6        1.272 11.04
7        1.291 0.79
8        1.281 8.98
10       1.284 10.40
15       1.268 8.69
22       1.289 6.89
24       1.289 3.10
26       1.301 7.50
30       1.295 6.38
36       1.272 10.84
41       1.297 6.27
51       1.286 5.66
69       1.284 5.04
72       1.297 11.47
77       1.278 5.03
90       1.291 5.10
99       1.291 4.61
102      1.304 1.66
104      1.315 0.00
107      1.299 4.56
110      1.314 2.49
141      1.295 6.39
163      1.287 6.55
176      1.272 4.45
177      1.281 8.99
337      1.290 6.93
464      1.314 4.01
631      1.315 0.01
