1        1.334 20.14
3        1.323 20.36
4        1.360 14.59
5        1.362 16.24
7        1.332 8.33
8        1.354 10.70
11       1.348 10.88
12       1.320 18.02
13       1.333 12.48
16       1.337 13.48
19       1.323 16.32
20       1.324 23.13
21       1.296 18.78
22       1.328 15.06
24       1.354 0.00
25       1.329 15.84
27       1.314 18.17
33       1.332 11.48
36       1.354 13.30
40       1.352 13.33
55       1.353 13.36
78       1.327 15.83
83       1.312 7.56
100      1.315 6.86
106      1.327 12.48
127      1.296 17.22
142      1.319 6.59
145      1.334 10.84
150      1.329 12.79
178      1.320 10.24
181      1.311 12.38
192      1.325 6.63
206      1.300 14.79
252      1.287 12.83
272      1.308 11.12
275      1.291 20.69
287      1.295 17.89
289      1.276 15.60
338      1.295 17.84
379      1.304 9.52
383      1.302 19.05
395      1.288 12.86
425      1.359 14.59
471      1.291 12.39
475      1.289 14.30
488      1.289 13.02
493      1.292 13.55
498      1.268 16.50
516      1.362 16.26
570      1.287 13.02
590      1.293 13.77
592      1.293 17.89
623      1.299 17.70
633      1.309 11.21
650      1.323 16.34
652      1.271 16.82
703      1.302 12.12
767      1.319 10.31
824      1.291 13.21
834      1.325 23.20
878      1.332 8.33
1130     1.328 15.91
1244     1.332 12.57
1361     1.362 16.24
1448     1.281 14.86
1848     1.271 16.82
2175     1.312 7.55
2192     1.361 16.27
2304     1.329 15.87
2721     1.324 6.70
