1        1.343 3.87 
2        1.337 4.26 
3        1.336 4.46 
4        1.329 3.29 
6        1.325 4.78 
7        1.329 4.43 
8        1.323 5.55 
9        1.301 6.99 
10       1.323 6.45 
11       1.321 6.96 
12       1.311 7.10 
13       1.319 8.98 
14       1.305 6.99 
15       1.311 9.07 
16       1.313 8.06 
17       1.314 7.58 
18       1.315 6.90 
19       1.307 8.50 
20       1.275 7.35 
21       1.290 10.39 
22       1.293 9.23 
23       1.333 6.00 
24       1.308 7.90 
25       1.307 8.71 
26       1.307 9.33 
27       1.305 8.95 
28       1.306 4.73 
29       1.273 10.16 
30       1.292 13.91 
31       1.314 7.54 
32       1.292 8.84 
33       1.315 7.84 
34       1.313 0.00 
35       1.321 8.40 
36       1.265 12.23 
37       1.279 7.38 
38       1.287 11.96 
39       1.269 8.44 
40       1.303 8.63 
41       1.265 12.35 
42       1.305 8.80 
43       1.269 10.48 
44       1.322 6.10 
45       1.335 6.19 
46       1.306 9.36 
47       1.282 7.93 
48       1.319 2.63 
49       1.300 9.97 
50       1.307 8.89 
51       1.309 8.20 
53       1.311 8.98 
54       1.310 8.53 
55       1.296 11.80 
56       1.301 10.22 
57       1.303 8.42 
61       1.263 9.13 
62       1.295 9.15 
63       1.296 1.66 
64       1.286 2.98 
65       1.287 9.18 
66       1.298 10.22 
67       1.297 6.51 
68       1.297 9.59 
70       1.305 8.28 
71       1.315 10.79 
73       1.310 9.91 
74       1.307 11.65 
76       1.295 4.45 
77       1.303 8.25 
78       1.277 10.46 
79       1.282 9.70 
80       1.305 9.25 
85       1.292 13.03 
86       1.308 8.98 
88       1.300 6.79 
89       1.256 10.38 
90       1.282 12.83 
91       1.291 8.99 
94       1.307 8.06 
95       1.287 7.89 
96       1.295 5.84 
97       1.318 7.20 
99       1.293 8.85 
100      1.308 9.08 
106      1.300 8.74 
111      1.301 6.81 
113      1.270 8.87 
119      1.287 7.42 
120      1.280 9.72 
121      1.289 12.52 
124      1.287 7.46 
126      1.283 2.64 
128      1.285 8.26 
136      1.297 12.41 
138      1.255 14.10 
139      1.251 9.64 
140      1.294 9.95 
141      1.313 7.78 
142      1.300 10.45 
148      1.282 3.18 
152      1.259 11.45 
156      1.289 10.42 
162      1.302 9.72 
163      1.279 13.65 
166      1.307 9.06 
174      1.277 11.42 
175      1.285 8.53 
178      1.277 10.77 
182      1.282 9.14 
184      1.290 7.13 
185      1.297 4.34 
187      1.291 10.90 
188      1.281 3.15 
190      1.282 6.31 
191      1.271 9.16 
195      1.288 4.98 
210      1.277 10.20 
214      1.294 8.56 
216      1.281 12.84 
221      1.293 8.79 
222      1.310 8.24 
224      1.324 6.77 
225      1.280 5.99 
228      1.311 9.18 
229      1.288 11.06 
239      1.274 12.28 
248      1.301 6.82 
251      1.297 9.81 
254      1.266 5.43 
256      1.268 10.48 
262      1.287 11.15 
268      1.297 10.16 
269      1.303 9.57 
271      1.273 12.35 
277      1.293 2.72 
285      1.285 6.35 
294      1.269 10.58 
295      1.290 4.43 
305      1.288 7.60 
306      1.300 6.37 
308      1.281 10.71 
310      1.262 9.53 
312      1.275 7.36 
314      1.287 10.26 
316      1.256 14.12 
317      1.265 5.45 
318      1.282 9.95 
319      1.249 10.85 
320      1.262 14.14 
321      1.284 11.39 
322      1.292 12.06 
324      1.276 6.02 
333      1.293 2.58 
334      1.320 5.87 
346      1.263 10.18 
347      1.286 0.62 
349      1.254 14.35 
353      1.291 6.47 
361      1.279 7.98 
363      1.281 11.27 
364      1.279 10.74 
365      1.262 9.94 
370      1.284 3.93 
376      1.280 9.09 
377      1.279 11.14 
378      1.276 9.63 
384      1.275 7.84 
386      1.295 11.59 
387      1.277 9.50 
389      1.260 13.26 
393      1.264 11.65 
394      1.274 4.98 
404      1.284 7.22 
413      1.253 10.73 
417      1.255 9.15 
419      1.264 9.52 
425      1.271 6.09 
429      1.268 13.12 
