1    1.300 8.39 
2    1.299 11.07 
3    1.261 1.83 
4    1.296 8.93 
5    1.301 5.73 
6    1.275 6.67 
7    1.294 7.56 
8    1.263 10.31 
9    1.275 6.67 
10   1.248 14.79 
11   1.254 14.26 
12   1.296 2.46 
13   1.274 3.24 
14   1.293 8.99 
15   1.280 5.35 
16   1.263 17.14 
17   1.290 15.56 
18   1.239 16.93 
19   1.287 14.69 
20   1.257 13.04 
21   1.284 6.80 
23   1.239 3.14 
26   1.276 6.73 
27   1.239 16.93 
28   1.278 11.09 
29   1.279 8.62 
32   1.262 1.78 
33   1.252 17.63 
35   1.274 10.39 
36   1.257 12.36 
38   1.271 6.95 
39   1.267 4.43 
41   1.254 -5.10 
43   1.248 8.31 
44   1.246 14.46 
45   1.268 13.81 
46   1.270 5.91 
47   1.284 12.52 
48   1.267 11.02 
52   1.247 6.57 
54   1.267 15.19 
55   1.242 0.73 
59   1.247 6.97 
63   1.263 15.18 
64   1.234 2.32 
66   1.249 14.76 
70   1.253 -3.62 
71   1.231 11.50 
78   1.235 1.28 
87   1.244 8.15 
90   1.249 4.04 
91   1.247 10.13 
93   1.262 2.16 
94   1.262 3.76 
95   1.212 27.02 
96   1.220 19.62 
101  1.262 16.94 
102  1.238 17.57 
104  1.249 8.76 
105  1.265 16.38 
106  1.259 14.15 
108  1.242 9.38 
110  1.253 -2.12 
113  1.274 1.39 
114  1.266 18.25 
115  1.223 10.04 
124  1.253 5.63 
126  1.233 20.29 
129  1.251 -1.83 
132  1.242 7.84 
133  1.211 5.50 
137  1.214 27.15 
139  1.248 -1.17 
144  1.258 18.48 
145  1.274 1.47 
153  1.254 16.17 
158  1.265 15.96 
166  1.258 12.43 
169  1.230 17.18 
174  1.237 -0.73 
175  1.262 14.89 
176  1.250 9.11 
177  1.224 10.05 
184  1.214 27.02 
194  1.213 27.01 
196  1.251 9.12 
200  1.219 8.53 
204  1.262 3.76 
212  1.231 21.71 
217  1.239 1.53 
222  1.252 -3.35 
224  1.248 10.29 
225  1.242 7.84 
227  1.247 9.30 
235  1.245 18.12 
236  1.240 -0.55 
239  1.227 8.48 
243  1.256 11.77 
246  1.216 15.99 
255  1.244 15.40 
258  1.243 8.46 
271  1.224 17.52 
275  1.249 3.57 
281  1.261 16.53 
289  1.277 15.90 
290  1.249 -1.53 
291  1.234 2.32 
298  1.255 14.27 
302  1.237 7.27 
308  1.267 4.42 
311  1.256 4.57 
312  1.253 5.62 
318  1.237 19.45 
323  1.251 9.41 
325  1.224 2.82 
343  1.236 10.22 
346  1.197 13.70 
358  1.233 20.80 
359  1.247 10.14 
372  1.242 9.37 
373  1.213 11.94 
