DBPHEN02 1.317 0.37 
DBPHEN03 1.291 0.42 
DBPHEN04 1.296 0.00 
DBPHEN05 1.320 0.08 
opt_102  1.293 5.98 
opt_103  1.290 3.22 
opt_104  1.313 2.33 
opt_107  1.296 0.58 
opt_108  1.292 9.18 
opt_109  1.248 13.13 
opt_10   1.304 8.40 
opt_112  1.275 12.82 
opt_1142 1.273 6.24 
opt_114  1.305 7.08 
opt_117  1.237 11.09 
opt_119  1.303 9.98 
opt_11   1.325 3.23 
opt_1218 1.298 0.29 
opt_1229 1.248 7.03 
opt_123  1.244 19.05 
opt_124  1.295 6.40 
opt_126  1.306 4.24 
opt_1288 1.299 5.75 
opt_12   1.328 4.03 
opt_1307 1.288 5.84 
opt_131  1.277 14.51 
opt_132  1.290 5.47 
opt_133  1.261 12.18 
opt_134  1.302 5.31 
opt_13   1.317 7.73 
opt_1409 1.264 7.85 
opt_143  1.293 5.05 
opt_144  1.283 8.65 
opt_148  1.289 6.08 
opt_14   1.304 9.39 
opt_150  1.293 8.52 
opt_1513 1.289 5.83 
opt_151  1.299 9.39 
opt_152  1.268 11.49 
opt_153  1.315 2.18 
opt_155  1.286 8.15 
opt_157  1.275 12.99 
opt_1584 1.272 12.08 
opt_159  1.283 9.71 
opt_15   1.300 8.20 
opt_161  1.267 12.44 
opt_163  1.287 10.89 
opt_1665 1.246 5.62 
opt_166  1.293 9.17 
opt_1670 1.229 9.88 
opt_168  1.295 0.90 
opt_169  1.248 9.37 
opt_16   1.312 8.57 
opt_170  1.274 10.90 
opt_171  1.287 4.39 
opt_173  1.307 4.70 
opt_1761 1.223 8.56 
opt_17   1.260 10.64 
opt_180  1.296 8.34 
opt_181  1.292 1.91 
opt_182  1.256 8.89 
opt_184  1.303 7.34 
opt_185  1.293 4.99 
opt_187  1.264 10.38 
opt_18   1.294 10.65 
opt_192  1.268 10.56 
opt_197  1.279 6.96 
opt_198  1.270 9.44 
opt_199  1.269 9.00 
opt_19   1.319 0.97 
opt_1    1.301 1.32 
opt_202  1.279 2.67 
opt_203  1.300 7.38 
opt_205  1.296 4.99 
opt_206  1.294 3.79 
opt_208  1.291 0.81 
opt_209  1.294 5.39 
opt_20   1.317 10.36 
opt_210  1.293 8.94 
opt_213  1.260 14.20 
opt_218  1.299 8.48 
opt_219  1.252 12.31 
opt_21   1.312 12.03 
opt_221  1.280 8.07 
opt_223  1.268 12.35 
opt_229  1.293 7.02 
opt_22   1.299 2.29 
opt_236  1.282 9.83 
opt_23   1.285 9.47 
opt_2423 1.283 3.26 
opt_252  1.269 6.97 
opt_2580 1.230 15.50 
opt_259  1.272 7.61 
opt_25   1.261 10.43 
opt_2620 1.294 3.79 
opt_264  1.265 5.48 
opt_26   1.293 9.83 
opt_273  1.257 12.15 
opt_274  1.289 5.07 
opt_276  1.281 9.16 
opt_28   1.306 12.14 
opt_292  1.319 2.22 
opt_295  1.268 11.91 
opt_297  1.304 1.50 
opt_298  1.262 6.98 
opt_29   1.309 3.56 
opt_2    1.304 2.70 
opt_302  1.306 5.39 
opt_306  1.270 1.74 
opt_30   1.248 12.69 
opt_3185 1.286 6.23 
opt_319  1.278 10.61 
opt_333  1.324 8.53 
opt_34   1.310 8.36 
opt_352  1.257 12.64 
opt_3549 1.299 5.83 
opt_355  1.266 7.75 
opt_35   1.308 3.68 
opt_360  1.294 6.40 
opt_36   1.271 16.11 
opt_371  1.234 11.51 
opt_372  1.270 2.32 
opt_3762 1.306 12.16 
opt_37   1.311 5.80 
opt_38   1.293 8.94 
opt_391  1.287 1.94 
opt_3    1.333 2.93 
opt_402  1.250 12.96 
opt_40   1.299 1.67 
opt_411  1.291 3.41 
opt_420  1.258 12.72 
opt_428  1.270 10.64 
opt_435  1.264 10.99 
opt_441  1.305 5.40 
opt_44   1.287 9.04 
opt_46   1.312 5.72 
opt_47   1.321 0.03 
opt_4    1.313 1.99 
opt_50   1.331 2.38 
opt_515  1.269 9.29 
opt_524  1.305 1.44 
opt_53   1.294 13.11 
opt_542  1.240 12.25 
opt_556  1.244 12.22 
opt_564  1.264 7.88 
opt_56   1.289 12.33 
opt_571  1.248 7.46 
opt_57   1.303 13.52 
opt_58   1.329 3.60 
opt_59   1.282 4.18 
opt_5    1.338 7.17 
opt_60   1.299 5.86 
opt_610  1.253 9.85 
opt_619  1.232 9.79 
opt_61   1.309 5.77 
opt_642  1.264 8.79 
opt_65   1.316 2.46 
opt_668  1.276 7.19 
opt_669  1.257 12.34 
opt_66   1.284 10.23 
opt_6    1.302 6.22 
opt_70   1.251 14.98 
opt_71   1.270 12.29 
opt_73   1.278 10.96 
opt_74   1.275 11.06 
opt_756  1.269 7.24 
opt_75   1.292 13.27 
opt_76   1.306 12.13 
opt_77   1.258 15.38 
opt_791  1.224 8.20 
opt_802  1.277 6.72 
opt_831  1.259 3.14 
opt_84   1.270 9.02 
opt_86   1.294 6.15 
opt_87   1.296 6.14 
opt_885  1.253 9.28 
opt_88   1.277 9.29 
opt_895  1.249 6.43 
opt_89   1.299 6.82 
opt_8    1.263 6.60 
opt_90   1.302 8.54 
opt_91   1.284 9.01 
opt_920  1.299 5.49 
opt_93   1.308 8.98 
opt_964  1.280 5.50 
opt_96   1.271 12.04 
opt_98   1.292 12.48 
opt_9    1.295 2.34 
